start[hr],end[hr],duration[hr],start[timestamp],end[timestamp],status
37.626767999999856,536.3471087999999,498.72034080000003,2031-07-09T04:19:26,2031-07-29T23:02:39,shutin
536.3471087999999,861.0672792,324.72017040000014,2031-07-29T23:02:39,2031-08-12T11:45:52,flowing
861.0672792,1396.9874496000002,535.9201704000002,2031-08-12T11:45:52,2031-09-03T19:41:05,flowing
1396.9874496000002,1952.1079128,555.1204631999997,2031-09-03T19:41:05,2031-09-26T22:48:18,shutin
1952.1079128,2182.2680832,230.1601704000002,2031-09-26T22:48:18,2031-10-06T12:57:55,flowing
2182.2680832,3312.9082536,1130.6401704,2031-10-06T12:57:55,2031-11-22T15:36:20,flowing
3312.9082536,3624.908424,312.0001704000001,2031-11-22T15:36:20,2031-12-05T15:36:20,shutin
3624.908424,3900.1885944,275.28017039999986,2031-12-05T15:36:20,2031-12-17T02:53:09,flowing
3900.1885944,4408.508764799999,508.3201703999989,2031-12-17T02:53:09,2032-01-07T07:12:21,shutin
4408.508764799999,4788.4289352,379.92017040000064,2032-01-07T07:12:21,2032-01-23T03:07:34,flowing
4788.4289352,5720.6423376,932.2134024000006,2032-01-23T03:07:34,2032-03-01T23:20:22,flowing
